status,symbol,side,signal_datetime,entry_price,tp_percent,sl_percent,tp_price,sl_price,hours_window,entry_hit,result,pnl,pnl_percent,exit_time,bars_in_trade,has_csv_tpsl,signal_index,exit_price,balance_after_trade
completed,AVNTUSDT,long,2025-10-23 17:30:00,0.6591,2.0,5.0,0.672282,0.626145,16.0,True,win,1.000000000000002,2.000000000000004,2025-10-24 00:16:00,407.0,False,81,0.672282,903.88276269969
completed,TAGUSDT,long,2025-10-23 17:30:00,0.000402,2.0,5.0,0.00041004,0.0003819,16.0,False,no_entry,0.0,0.0,,0.0,False,82,,
completed,ARCUSDT,short,2025-10-23 17:30:00,0.01235,2.0,5.0,0.012103,0.0129675,16.0,True,loss,-2.5,-5.0,2025-10-23 17:31:00,2.0,False,83,0.0129675,901.38276269969
completed,NAORISUSDT,long,2025-10-23 21:30:00,0.04855,2.0,5.0,0.049521,0.046122500000000004,16.0,True,expired,0.5870252264515841,1.1740504529031681,2025-10-24 05:00:00,451.0,False,84,0.04912000149488449,901.9697879261416
completed,IDOLUSDT,long,2025-10-23 21:30:00,0.03848,2.0,5.0,0.0392496,0.036556,16.0,True,expired,-0.49376238191697847,-0.9875247638339569,2025-10-24 05:00:00,451.0,False,85,0.038100000470876694,901.4760255442246
completed,AIAUSDT,short,2025-10-23 21:30:00,1.317,2.0,5.0,1.29066,1.38285,16.0,True,win,1.0000000000000013,2.0000000000000027,2025-10-23 22:44:00,53.0,False,86,1.29066,902.4760255442246
completed,XPINUSDT,long,2025-10-23 21:30:00,0.010118,2.0,5.0,0.01032036,0.0096121,16.0,True,loss,-2.5000000000000004,-5.000000000000001,2025-10-23 21:31:00,2.0,False,87,0.0096121,899.9760255442246
completed,UBUSDT,long,2025-10-23 21:30:00,0.047973,2.0,5.0,0.048932460000000004,0.04557435,16.0,False,no_entry,0.0,0.0,,0.0,False,88,,
completed,AIOTUSDT,long,2025-10-23 21:30:00,0.4887,2.0,5.0,0.49847400000000003,0.464265,16.0,True,win,1.0000000000000004,2.000000000000001,2025-10-24 00:05:00,156.0,False,89,0.49847400000000003,900.9760255442246
completed,RIVERUSDT,long,2025-10-23 21:30:00,8.451,2.0,5.0,8.62002,8.02845,16.0,False,no_entry,0.0,0.0,,0.0,False,90,,
completed,ARIAUSDT,long,2025-10-24 01:30:00,0.17937,2.0,5.0,0.1829574,0.17040149999999998,16.0,True,expired,-2.230027416195434,-4.460054832390868,2025-10-24 09:00:00,451.0,False,91,0.1713699996471405,898.7459981280292
completed,JELLYJELLYUSDT,long,2025-10-24 01:30:00,0.08166,2.0,5.0,0.0832932,0.077577,16.0,True,expired,-1.9348502188315126,-3.8697004376630253,2025-10-24 09:00:00,451.0,False,92,0.07850000262260437,896.8111479091978
completed,COAIUSDT,long,2025-10-24 01:30:00,16.357,2.0,5.0,16.68414,15.53915,16.0,True,loss,-2.5,-5.0,2025-10-24 01:31:00,2.0,False,93,15.53915,894.3111479091978
completed,AVNTUSDT,long,2025-10-24 01:30:00,0.6447,2.0,5.0,0.657594,0.612465,16.0,False,no_entry,0.0,0.0,,0.0,False,94,,
completed,TAGUSDT,long,2025-10-24 01:30:00,0.000433,2.0,5.0,0.00044166,0.00041135,16.0,True,win,1.0000000000000018,2.0000000000000036,2025-10-24 05:07:00,218.0,False,95,0.00044166,895.3111479091978
completed,PIPPINUSDT,long,2025-10-24 01:30:00,0.02128,2.0,5.0,0.021705600000000002,0.020215999999999998,16.0,True,win,1.0000000000000038,2.0000000000000075,2025-10-24 02:31:00,19.0,False,96,0.021705600000000002,896.3111479091978
completed,TAUSDT,long,2025-10-24 01:30:00,0.0516,2.0,5.0,0.052632,0.04902,16.0,True,win,0.9999999999999983,1.9999999999999967,2025-10-24 06:47:00,87.0,False,97,0.052632,897.3111479091978
